Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price,Split
Glenroy,9/11 Currajong St,2,u,SP,Barry,12/11/2016,13.0,3046.0,2.0,1.0,1.0,0.0,61.0,1970.0,Moreland,-37.711,144.9178,Northern Metropolitan,8870.0,250000.0,Train
Brighton,3 Rose St,2,t,S,Hodges,29/04/2017,11.2,3186.0,2.0,1.0,1.0,238.0,,,Bayside,-37.8985,145.0048,Southern Metropolitan,10579.0,1470000.0,Train
Brunswick East,3/37 Brunswick Rd,2,u,S,Collins,16/07/2016,4.5,3057.0,2.0,1.0,1.0,0.0,96.0,1940.0,Moreland,-37.7786,144.9753,Northern Metropolitan,5533.0,665000.0,Train
Rosanna,3/25 Ellesmere Pde,3,t,S,Buckingham,30/07/2016,11.4,3084.0,3.0,1.0,1.0,174.0,,,Banyule,-37.7404,145.0648,Eastern Metropolitan,3540.0,710000.0,Train
Altona North,3/66 Marion St,2,t,S,hockingstuart,4/03/2017,11.1,3025.0,2.0,1.0,1.0,77.0,77.0,2009.0,Hobsons Bay,-37.8351,144.8529,Western Metropolitan,5132.0,421000.0,Train
South Yarra,4/957 Punt Rd,2,u,SP,Jellis,7/11/2016,3.3,3141.0,2.0,1.0,1.0,0.0,77.0,1940.0,Melbourne,-37.8314,144.9877,Southern Metropolitan,14887.0,659000.0,Train
Sunshine West,11 Amore Dr,3,h,SP,YPA,23/09/2017,10.5,3020.0,3.0,2.0,1.0,156.0,,,,-37.79498,144.79545,Western Metropolitan,6763.0,555000.0,Train
Glenroy,44 Daley St,3,h,S,Walshe,10/12/2016,13.0,3046.0,3.0,1.0,2.0,627.0,,,Moreland,-37.6974,144.9326,Northern Metropolitan,8870.0,572000.0,Train
Kew,5 Regency Gr,4,h,S,Fletchers,26/08/2017,5.4,3101.0,4.0,3.0,2.0,523.0,,,,-37.80828,145.06027,Southern Metropolitan,10331.0,2045000.0,Train
Bentleigh East,2/9 Argyle St,2,u,S,Gary,29/07/2017,13.8,3165.0,2.0,1.0,1.0,121.0,,,Glen Eira,-37.91051,145.07138999999995,Southern Metropolitan,10969.0,592000.0,Train
Hawthorn,3/566 Glenferrie Rd,2,u,S,Jellis,16/07/2016,4.6,3122.0,2.0,1.0,1.0,1099.0,72.0,1965.0,Boroondara,-37.8271,145.0347,Southern Metropolitan,11308.0,587500.0,Train
Coburg North,16 Smith St,3,h,S,Nelson,15/10/2016,9.2,3058.0,3.0,1.0,1.0,367.0,,,Moreland,-37.728,144.963,Northern Metropolitan,3445.0,772000.0,Train
Northcote,83 Bastings St,3,h,S,Nelson,17/09/2016,5.5,3070.0,3.0,1.0,1.0,328.0,135.0,1920.0,Darebin,-37.7745,145.0045,Northern Metropolitan,11364.0,1300000.0,Train
Ormond,32a Bewdley St,2,h,S,Ray,8/10/2016,11.8,3204.0,2.0,1.0,1.0,516.0,,,Glen Eira,-37.906,145.0497,Southern Metropolitan,3578.0,1250000.0,Train
Bentleigh East,5 Konrad St,3,h,S,Hodges,27/11/2016,13.9,3165.0,3.0,1.0,2.0,625.0,,,Glen Eira,-37.927,145.0645,Southern Metropolitan,10969.0,1040000.0,Train
Northcote,24 Henry St,4,h,S,Elite,27/05/2017,5.3,3070.0,4.0,1.0,0.0,566.0,,,Darebin,-37.77294000000001,144.9957,Northern Metropolitan,11364.0,2042000.0,Train
Hawthorn,49 Lisson Gr,4,h,S,Abercromby's,17/06/2017,5.3,3122.0,4.0,2.0,4.0,1690.0,284.0,1863.0,Boroondara,-37.82652,145.03052,Southern Metropolitan,11308.0,7650000.0,Train
Southbank,2/95 Dodds St,2,u,S,Cayzer,7/05/2016,1.2,3006.0,2.0,1.0,1.0,0.0,,1995.0,Melbourne,-37.828,144.9683,Southern Metropolitan,8400.0,623000.0,Train
Hoppers Crossing,22 Roseland Cr,3,h,S,Reliance,19/08/2017,18.4,3029.0,3.0,1.0,2.0,538.0,112.0,1980.0,,-37.88531,144.68431,Western Metropolitan,13830.0,520000.0,Train
Oakleigh,141 Atherton Rd,4,h,PI,Ray,29/04/2017,14.0,3166.0,4.0,3.0,4.0,691.0,213.0,1950.0,Monash,-37.8999,145.0993,Southern Metropolitan,3224.0,1600000.0,Train
Ringwood,98 Wonga Rd,4,h,PI,Carter,23/09/2017,19.9,3134.0,4.0,2.0,2.0,657.0,,,,-37.79053,145.2472,Eastern Metropolitan,7785.0,999999.0,Train
Templestowe Lower,62 Hodgson St,5,h,S,Barry,26/07/2016,13.8,3107.0,5.0,4.0,2.0,646.0,360.0,2016.0,Manningham,-37.7625,145.1043,Eastern Metropolitan,5420.0,2080000.0,Train
Carnegie,67 Belsize Av,3,h,S,Ray,16/09/2017,10.1,3163.0,3.0,2.0,2.0,560.0,,,,-37.893,145.05861000000004,Southern Metropolitan,7822.0,1510000.0,Train
Ivanhoe,8/1088 Heidelberg Rd,2,h,VB,Miles,13/05/2017,7.9,3079.0,2.0,1.0,1.0,1465.0,,,Banyule,-37.7735,145.0403,Eastern Metropolitan,5549.0,690000.0,Train
Hampton East,31 Warland Rd,3,h,S,McGrath,25/02/2017,14.5,3188.0,3.0,2.0,2.0,732.0,,,Bayside,-37.9362,145.0339,Southern Metropolitan,2356.0,1471000.0,Train
South Melbourne,5/182 Albert Rd,1,u,S,hockingstuart,23/04/2016,2.1,3205.0,1.0,1.0,1.0,0.0,,2004.0,Port Phillip,-37.8369,144.968,Southern Metropolitan,5943.0,480000.0,Train
Braybrook,96 Duke St,2,h,S,Barry,6/05/2017,10.8,3019.0,2.0,1.0,2.0,555.0,74.0,1950.0,Maribyrnong,-37.7854,144.8463,Western Metropolitan,3589.0,610000.0,Train
Collingwood,5 Charlotte St,2,h,SP,Peter,19/11/2016,1.6,3066.0,2.0,1.0,2.0,159.0,86.0,1880.0,Yarra,-37.7962,144.9887,Northern Metropolitan,4553.0,1000000.0,Train
Sunshine West,100 Links St,3,h,S,GL,29/04/2017,13.5,3020.0,3.0,1.0,1.0,757.0,100.0,1950.0,Brimbank,-37.7845,144.8088,Western Metropolitan,6763.0,571000.0,Train
Burwood,7 Wattlebird Ct,4,h,S,Fletchers,7/05/2016,11.7,3125.0,4.0,3.0,2.0,928.0,229.0,1996.0,Whitehorse,-37.842,145.102,Southern Metropolitan,5678.0,2000000.0,Train
Princes Hill,77 McIlwraith St,4,h,S,Nelson,28/05/2016,3.7,3054.0,4.0,2.0,1.0,256.0,156.0,1890.0,Yarra,-37.7833,144.9681,Northern Metropolitan,1008.0,1908000.0,Train
Maidstone,3/83 Mitchell St,3,t,S,Rendina,1/07/2017,6.4,3012.0,3.0,2.0,2.0,262.0,153.0,2004.0,Maribyrnong,-37.78284,144.88098,Western Metropolitan,3873.0,895000.0,Train
Kew East,2 Violet Gr,3,h,S,Jellis,17/09/2016,7.5,3102.0,3.0,2.0,4.0,611.0,160.0,1930.0,Boroondara,-37.7997,145.058,Southern Metropolitan,2671.0,1750000.0,Train
Briar Hill,3/25 Williams Rd,2,u,S,Morrison,3/09/2017,16.1,3088.0,2.0,1.0,1.0,180.0,,,,-37.70924,145.11412,Eastern Metropolitan,1390.0,610000.0,Train
Sunshine,16 Couch St,4,h,S,Jas,19/11/2016,12.6,3020.0,4.0,2.0,2.0,504.0,174.0,2005.0,Brimbank,-37.7952,144.8325,Western Metropolitan,3755.0,930000.0,Train
Craigieburn,27 Vantage Bvd,4,h,SA,HAR,19/08/2017,20.6,3064.0,4.0,2.0,2.0,511.0,,,,-37.59372000000001,144.89449,Northern Metropolitan,15510.0,800000.0,Train
Bentleigh East,30 Chauvel St,3,h,PI,Buxton,17/09/2016,13.9,3165.0,3.0,2.0,1.0,337.0,,,Glen Eira,-37.9115,145.0844,Southern Metropolitan,10969.0,750000.0,Train
Hawthorn,3 Johnson St,4,h,S,Abercromby's,17/06/2017,5.3,3122.0,4.0,3.0,2.0,354.0,,,Boroondara,-37.81691,145.03721000000004,Southern Metropolitan,11308.0,2053000.0,Train
Brighton East,139 Thomas St,4,h,SA,hockingstuart,13/08/2016,10.7,3187.0,5.0,3.0,2.0,598.0,212.0,1948.0,Bayside,-37.9075,145.0248,Southern Metropolitan,6938.0,1650000.0,Train
Doncaster,10 Margot Av,4,h,S,Philip,8/07/2017,12.4,3108.0,4.0,3.0,2.0,674.0,250.0,1982.0,Manningham,-37.77102,145.13338000000005,Eastern Metropolitan,9028.0,1663000.0,Train
Hawthorn East,4 Temple St,6,h,S,Noel,24/09/2016,7.5,3123.0,6.0,2.0,0.0,350.0,198.0,1900.0,Boroondara,-37.8219,145.0556,Southern Metropolitan,6482.0,1666000.0,Train
Bentleigh East,59 Tambet St,4,t,S,hockingstuart,6/08/2016,13.9,3165.0,3.0,2.0,2.0,321.0,180.0,2006.0,Glen Eira,-37.914,145.0714,Southern Metropolitan,10969.0,1160000.0,Train
Malvern,6/36 Johnstone St,2,u,S,Gary,3/06/2017,5.9,3144.0,2.0,1.0,1.0,0.0,72.9,1977.0,Stonnington,-37.86824,145.03503999999995,Southern Metropolitan,4675.0,592000.0,Train
Reservoir,97 North Rd,2,h,S,Nelson,12/11/2016,11.2,3073.0,2.0,1.0,2.0,0.0,,,Darebin,-37.7231,145.0168,Northern Metropolitan,21650.0,755000.0,Train
Caulfield North,7/19 Hawthorn Rd,2,u,S,Gary,13/08/2016,8.1,3161.0,2.0,1.0,1.0,0.0,,,Glen Eira,-37.8681,145.0258,Southern Metropolitan,6923.0,520500.0,Train
Ormond,1/75 Lillimur Rd,2,u,S,Gary,19/11/2016,11.8,3204.0,2.0,1.0,1.0,0.0,52.0,2011.0,Glen Eira,-37.8986,145.042,Southern Metropolitan,3578.0,475000.0,Train
Sandringham,6/76 Bay Rd,2,u,S,hockingstuart,1/07/2017,15.2,3191.0,2.0,1.0,1.0,0.0,67.0,1970.0,Bayside,-37.95236,145.00737,Southern Metropolitan,4497.0,643500.0,Train
Brunswick East,8 Hamer St,2,h,S,Nelson,16/09/2017,4.0,3057.0,2.0,1.0,3.0,439.0,,,,-37.76766,144.97638,Northern Metropolitan,5533.0,1265000.0,Train
Port Melbourne,350 Princes St,3,h,S,Marshall,27/11/2016,3.8,3207.0,3.0,2.0,1.0,170.0,,,Melbourne,-37.835,144.94299999999996,Southern Metropolitan,8648.0,2100000.0,Train
Fitzroy,302/424 Gore St,1,u,S,Jellis,12/08/2017,2.1,3065.0,1.0,1.0,1.0,1730.0,60.0,2011.0,Yarra,-37.79636,144.98394,Northern Metropolitan,5825.0,545000.0,Train
Maribyrnong,75 Edgewater Bvd,3,h,PI,Biggin,28/05/2016,8.7,3032.0,3.0,2.0,2.0,203.0,160.0,2006.0,Maribyrnong,-37.7853,144.8972,Western Metropolitan,4918.0,820000.0,Train
Werribee,24 Swallow St,3,h,S,YPA,12/08/2017,14.7,3030.0,3.0,1.0,1.0,610.0,125.0,1980.0,Wyndham,-37.88632,144.67582,Western Metropolitan,16166.0,455000.0,Train
South Yarra,18/34 Rockley Rd,1,u,SP,McGrath,3/09/2016,3.3,3141.0,1.0,1.0,1.0,0.0,,,Stonnington,-37.8363,145.0003,Southern Metropolitan,14887.0,467500.0,Train
Glen Iris,1/1484 Malvern Rd,2,u,PI,Thomson,1/07/2017,7.3,3146.0,2.0,1.0,1.0,0.0,76.0,1965.0,Stonnington,-37.85399,145.04699,Southern Metropolitan,10412.0,500000.0,Train
Yarraville,1/27 Stephen St,2,u,SP,Jas,27/05/2017,6.3,3013.0,2.0,1.0,1.0,80.0,80.0,1970.0,Maribyrnong,-37.81133,144.89553,Western Metropolitan,6543.0,709500.0,Train
Altona,7/35 Grieve Pde,2,u,SP,hockingstuart,9/09/2017,11.0,3018.0,2.0,1.0,1.0,63.0,75.0,1975.0,,-37.86933,144.81704,Western Metropolitan,5301.0,458000.0,Train
Hampton,11 Conifer St,2,u,S,hockingstuart,19/11/2016,13.7,3188.0,2.0,2.0,2.0,677.0,,,Bayside,-37.9448,145.0186,Southern Metropolitan,5454.0,896000.0,Train
Wheelers Hill,5 Rubens Ct,4,h,S,Win,27/05/2017,16.7,3150.0,4.0,2.0,2.0,702.0,,,Monash,-37.91075,145.18758,South-Eastern Metropolitan,7392.0,1035000.0,Train
West Footscray,45 Hansen St,3,h,S,Jas,10/12/2016,8.2,3012.0,3.0,1.0,2.0,347.0,113.0,1925.0,Maribyrnong,-37.8067,144.8761,Western Metropolitan,5058.0,967000.0,Train
Langwarrin,2 Gianna Wy,3,h,S,O'Brien,29/07/2017,41.0,3910.0,3.0,2.0,2.0,361.0,,,Frankston,-38.13673,145.21616,Eastern Victoria,8743.0,565500.0,Train
Yarraville,4 Bena St,3,h,S,Jas,28/05/2016,7.0,3013.0,3.0,1.0,2.0,463.0,,,Maribyrnong,-37.8185,144.8812,Western Metropolitan,6543.0,980000.0,Train
Cheltenham,2A Walker Gr,3,t,S,Ray,17/06/2017,17.9,3192.0,3.0,2.0,2.0,305.0,130.0,2000.0,Kingston,-37.96836,145.06452,Southern Metropolitan,9758.0,861000.0,Train
Epping,10/81 Rufus St,2,u,S,HAR,9/09/2017,19.6,3076.0,2.0,1.0,1.0,161.0,,,,-37.64888,145.02313,Northern Metropolitan,10926.0,291000.0,Train
Epping,17 Brigantia St,4,h,SP,Barry,12/08/2017,19.6,3076.0,4.0,2.0,2.0,400.0,,2011.0,Whittlesea,-37.62114,144.99715,Northern Metropolitan,10926.0,550000.0,Train
Hawthorn,9/63 Berkeley St,2,u,S,hockingstuart,10/12/2016,4.6,3122.0,2.0,1.0,1.0,0.0,78.0,1960.0,Boroondara,-37.8343,145.0364,Southern Metropolitan,11308.0,655000.0,Train
South Yarra,12 Witchwood Cl,3,h,SP,Biggin,28/08/2016,3.3,3141.0,2.0,2.0,1.0,181.0,148.0,1990.0,Melbourne,-37.8334,144.9867,Southern Metropolitan,14887.0,1700000.0,Train
Glen Iris,23 Flowerdale Rd,5,h,S,Marshall,19/11/2016,9.2,3146.0,5.0,4.0,2.0,830.0,520.0,2009.0,Boroondara,-37.8563,145.072,Southern Metropolitan,10412.0,3860000.0,Train
Malvern East,43 Kerferd St,3,h,S,Marshall,13/08/2016,11.2,3145.0,3.0,2.0,2.0,543.0,,,Stonnington,-37.8691,145.0435,Southern Metropolitan,8801.0,2305000.0,Train
Fitzroy North,55 Seacombe St,3,h,S,Nelson,28/08/2016,3.5,3068.0,3.0,2.0,1.0,118.0,103.0,1905.0,Yarra,-37.7839,144.9807,Northern Metropolitan,6244.0,1450000.0,Train
Eltham,5 Thomas St,3,h,VB,Morrison,19/08/2017,18.0,3095.0,3.0,2.0,2.0,868.0,135.0,1980.0,,-37.70659000000001,145.16345,Eastern Metropolitan,6990.0,810000.0,Train
Hawthorn East,5/305 Riversdale Rd,2,u,S,Marshall,7/11/2016,7.5,3123.0,2.0,1.0,1.0,0.0,,,Boroondara,-37.8301,145.0475,Southern Metropolitan,6482.0,490000.0,Train
Kew,4/35 Studley Park Rd,2,u,PI,Nelson,13/08/2016,5.6,3101.0,2.0,1.0,1.0,0.0,90.0,1970.0,Boroondara,-37.8071,145.0243,Southern Metropolitan,10331.0,580000.0,Train
Canterbury,3/900 Burke Rd,3,t,S,Jellis,24/06/2017,8.4,3126.0,3.0,2.0,2.0,230.0,,,Boroondara,-37.81653,145.05971,Southern Metropolitan,3265.0,1381000.0,Train
Coburg,34 Soudan St,2,h,S,Nelson,24/06/2017,6.7,3058.0,2.0,1.0,1.0,476.0,97.0,1930.0,Moreland,-37.73883,144.95321,Northern Metropolitan,11204.0,996000.0,Train
Rosanna,3/9 Mountain View Pde,4,h,SP,Nelson,14/05/2016,11.4,3084.0,4.0,3.0,2.0,0.0,185.0,2008.0,Banyule,-37.7449,145.0596,Eastern Metropolitan,3540.0,915000.0,Train
Richmond,101/27 Dickmann St,2,u,VB,hockingstuart,13/05/2017,2.6,3121.0,2.0,2.0,1.0,760.0,,2010.0,Yarra,-37.825,144.9976,Northern Metropolitan,14949.0,690000.0,Train
Brunswick,25/5 Evans St,3,t,SP,Nelson,13/05/2017,5.2,3056.0,3.0,2.0,1.0,122.0,140.0,2012.0,Moreland,-37.7698,144.9661,Northern Metropolitan,11918.0,981000.0,Train
Ascot Vale,97 The Crescent,3,h,PI,hockingstuart,24/06/2017,4.3,3032.0,3.0,2.0,2.0,239.0,,,Moonee Valley,-37.77263,144.92045,Western Metropolitan,6567.0,1100000.0,Train
Windsor,4/11 Lewisham Rd,2,u,PI,Biggin,15/10/2016,5.1,3181.0,2.0,1.0,1.0,0.0,,,Stonnington,-37.8573,144.9987,Southern Metropolitan,4380.0,520000.0,Train
Fairfield,3/260 Rathmines St,3,t,SP,Love,8/10/2016,5.8,3078.0,3.0,1.0,1.0,185.0,107.0,1990.0,Darebin,-37.7665,145.0175,Northern Metropolitan,2970.0,846000.0,Train
Oakleigh,105 Atkinson St,3,h,S,Ray,12/11/2016,14.0,3166.0,3.0,1.0,2.0,553.0,,,Monash,-37.8956,145.0928,Southern Metropolitan,3224.0,1225000.0,Train
Williamstown,33 Cecil St,3,h,S,Sweeney,24/09/2016,8.0,3016.0,3.0,2.0,1.0,185.0,139.0,1900.0,Hobsons Bay,-37.8664,144.9072,Western Metropolitan,6380.0,1310000.0,Train
Cremorne,12 Melrose St,3,h,S,Biggin,28/05/2016,2.5,3121.0,2.0,2.0,2.0,138.0,108.0,2001.0,Yarra,-37.8288,144.9891,Northern Metropolitan,1123.0,1300000.0,Train
Mont Albert,4/1 Nangnak La,2,t,PI,Changing,14/05/2016,11.8,3127.0,2.0,2.0,1.0,146.0,,,Whitehorse,-37.8157,145.1101,Eastern Metropolitan,2079.0,660000.0,Train
Moonee Ponds,1/53 Buckley St,2,u,S,Nelson,26/08/2017,6.2,3039.0,2.0,1.0,1.0,1475.0,66.0,1970.0,,-37.75799,144.92354,Western Metropolitan,6232.0,435000.0,Train
Preston,2 Hope St,3,h,PI,Barry,10/12/2016,8.8,3072.0,3.0,2.0,1.0,369.0,,,Darebin,-37.7389,144.9821,Northern Metropolitan,14577.0,1080000.0,Train
Brighton,1/17 Tennyson St,2,u,PI,RT,8/10/2016,11.2,3186.0,2.0,1.0,1.0,0.0,,1952.0,Bayside,-37.9225,144.9891,Southern Metropolitan,10579.0,700000.0,Train
Lalor,26 Newton Cr,3,h,S,HAR,9/09/2017,16.3,3075.0,3.0,1.0,1.0,672.0,,,,-37.66486,145.02014,Northern Metropolitan,8279.0,741000.0,Train
Brighton,36a Warleigh Gr,3,t,SP,Buxton,7/05/2016,11.2,3186.0,3.0,2.0,2.0,0.0,,,Bayside,-37.9045,145.0043,Southern Metropolitan,10579.0,1850000.0,Train
Carnegie,25 Byron St,2,t,S,Woodards,16/09/2017,10.1,3163.0,2.0,2.0,1.0,117.0,101.0,2007.0,,-37.88592,145.04781,Southern Metropolitan,7822.0,850000.0,Train
Brighton,114A Bay St,2,t,S,Hodges,25/02/2017,11.2,3186.0,2.0,2.0,2.0,201.0,,,Bayside,-37.905,144.9959,Southern Metropolitan,10579.0,1230000.0,Train
Box Hill,6 Bass St,4,h,S,Noel,19/11/2016,13.1,3128.0,4.0,2.0,2.0,620.0,,1912.0,Whitehorse,-37.8279,145.121,Eastern Metropolitan,4605.0,1625000.0,Train
Footscray,216a Ballarat Rd,4,t,VB,Raine,22/08/2016,6.4,3011.0,4.0,2.0,2.0,0.0,126.0,2015.0,Maribyrnong,-37.7905,144.8882,Western Metropolitan,7570.0,699000.0,Train
Werribee,1 Ord Ct,3,h,S,YPA,22/07/2017,14.7,3030.0,3.0,1.0,1.0,583.0,,1980.0,Wyndham,-37.88702,144.66101,Western Metropolitan,16166.0,412500.0,Train
Heidelberg Heights,2/3 Mary Av,2,t,S,Barry,15/07/2017,8.8,3081.0,2.0,1.0,1.0,140.0,107.0,2013.0,Banyule,-37.74835,145.05042,Eastern Metropolitan,2947.0,650000.0,Train
Ormond,2/3 Coane St,3,u,SP,Marshall,15/10/2016,11.8,3204.0,3.0,2.0,2.0,379.0,,,Glen Eira,-37.8981,145.0367,Southern Metropolitan,3578.0,973000.0,Train
Yarraville,5/69 Hamilton St,1,u,S,hockingstuart/Village,16/04/2016,7.0,3013.0,1.0,1.0,1.0,0.0,47.0,1970.0,Maribyrnong,-37.8111,144.887,Western Metropolitan,6543.0,345000.0,Train
Heathmont,21 Balfour Av,5,h,SP,Barry,19/08/2017,21.3,3135.0,5.0,3.0,2.0,779.0,,1975.0,,-37.83015,145.24171,Eastern Metropolitan,3794.0,1825000.0,Train
Pascoe Vale,5 Sims St,3,h,S,hockingstuart,13/05/2017,9.9,3044.0,3.0,1.0,2.0,321.0,94.0,1950.0,Moreland,-37.7242,144.9424,Northern Metropolitan,7485.0,708000.0,Train
Hillside,10 Chris Ct,4,h,S,Barry,27/05/2017,18.0,3037.0,4.0,2.0,2.0,661.0,196.0,1999.0,Brimbank,-37.69655,144.75538,Western Metropolitan,5556.0,677000.0,Train
Armadale,6/51 Armadale St,2,u,SP,Greg,19/11/2016,6.3,3143.0,2.0,1.0,1.0,0.0,74.0,1969.0,Stonnington,-37.8573,145.0186,Southern Metropolitan,4836.0,704000.0,Train
Maribyrnong,18 Blair St,3,t,SP,Biggin,7/05/2016,8.7,3032.0,3.0,2.0,2.0,77.0,138.0,2000.0,Maribyrnong,-37.7743,144.8797,Western Metropolitan,4918.0,550000.0,Train
Thomastown,8 Barbara Ct,4,h,PI,hockingstuart,12/08/2017,15.3,3074.0,4.0,1.0,2.0,695.0,,,Whittlesea,-37.67877,145.03656,Northern Metropolitan,7955.0,760000.0,Train
Heidelberg West,23 Catalina St,2,h,PI,Ray,16/04/2016,9.4,3081.0,2.0,1.0,2.0,668.0,88.0,1950.0,Banyule,-37.7389,145.0393,Eastern Metropolitan,2674.0,620000.0,Train
Yarraville,25 Gray St,4,h,S,Jas,4/06/2016,7.0,3013.0,2.0,1.0,0.0,165.0,93.0,1900.0,Maribyrnong,-37.819,144.895,Western Metropolitan,6543.0,706000.0,Train
Carnegie,5/12 Judith St,1,u,PI,Gary,8/07/2017,10.1,3163.0,1.0,1.0,1.0,314.0,45.0,1960.0,Glen Eira,-37.90321,145.0555,Southern Metropolitan,7822.0,286000.0,Train
Carlton North,14/1102 Lygon St,1,u,S,Nelson,24/09/2016,3.2,3054.0,1.0,1.0,1.0,0.0,56.0,1970.0,Yarra,-37.7798,144.9707,Northern Metropolitan,3106.0,437000.0,Train
Ormond,688 North Rd,4,h,S,Buxton,13/05/2017,11.8,3204.0,4.0,2.0,1.0,618.0,,,Glen Eira,-37.9051,145.0473,Southern Metropolitan,3578.0,1486000.0,Train
Niddrie,61 Nolan St,4,h,S,Barry,3/06/2017,10.4,3042.0,4.0,2.0,2.0,650.0,254.0,1955.0,Moonee Valley,-37.74103,144.88496,Western Metropolitan,2291.0,1337000.0,Train
Abbotsford,67 Yarra St,3,h,S,Jellis,27/05/2017,3.0,3067.0,3.0,1.0,1.0,270.0,101.0,1960.0,Yarra,-37.8023,144.99615,Northern Metropolitan,4019.0,1402500.0,Train
Williamstown,17 Yarra St,3,h,S,Jas,8/10/2016,8.0,3016.0,3.0,2.0,1.0,364.0,93.0,1970.0,Hobsons Bay,-37.8513,144.8961,Western Metropolitan,6380.0,1470000.0,Train
Carnegie,5/78 Moonya Rd,3,t,PI,Gary,4/06/2016,11.4,3163.0,3.0,2.0,1.0,0.0,107.0,1990.0,Glen Eira,-37.8972,145.0642,Southern Metropolitan,7822.0,675000.0,Train
Hampton,4/308 Hampton St,2,u,S,RT,18/03/2017,13.7,3188.0,2.0,2.0,1.0,225.0,118.0,1970.0,Bayside,-37.9442,145.0018,Southern Metropolitan,5454.0,875500.0,Train
Ashburton,48 Nicholas St,5,h,S,Marshall,27/11/2016,11.0,3147.0,5.0,3.0,4.0,700.0,266.0,1950.0,Boroondara,-37.8724,145.0758,Southern Metropolitan,3052.0,1600000.0,Train
Eltham,59 Bible St,3,h,S,Morrison,1/07/2017,18.0,3095.0,3.0,1.0,0.0,841.0,,,Nillumbik,-37.71926,145.15081999999995,Eastern Metropolitan,6990.0,975000.0,Train
Heidelberg Heights,8 Leonard St,5,h,S,hockingstuart,16/04/2016,10.5,3081.0,5.0,2.0,2.0,596.0,172.0,1972.0,Banyule,-37.7487,145.0522,Eastern Metropolitan,2947.0,890000.0,Train
Canterbury,2/67 Wattle Valley Rd,2,u,PI,Jellis,27/05/2017,8.4,3126.0,2.0,1.0,1.0,2207.0,,,Boroondara,-37.83201,145.08163000000005,Southern Metropolitan,3265.0,645000.0,Train
St Albans,9 Cornhill St,3,h,PI,S&L,17/06/2017,14.0,3021.0,3.0,1.0,1.0,582.0,116.0,1960.0,Brimbank,-37.74538,144.79216,Western Metropolitan,14042.0,610000.0,Train
Rosanna,7 Hylton Cr,2,h,S,Fletchers,15/07/2017,8.9,3084.0,2.0,1.0,1.0,1313.0,,,Banyule,-37.74694,145.07048,Eastern Metropolitan,3540.0,1310000.0,Train
Richmond,414/6 Lord St,2,u,S,Biggin,4/03/2017,2.6,3121.0,2.0,1.0,1.0,2571.0,66.0,2013.0,Yarra,-37.8198,145.005,Northern Metropolitan,14949.0,561000.0,Train
South Yarra,16/124 Caroline St,1,u,PI,hockingstuart,11/02/2017,3.3,3141.0,1.0,1.0,0.0,0.0,,,Stonnington,-37.8332,144.9901,Southern Metropolitan,14887.0,450000.0,Train
Moonee Ponds,28 Vine St,3,h,SP,Rendina,27/06/2016,6.9,3039.0,3.0,2.0,2.0,222.0,,1880.0,Moonee Valley,-37.7688,144.9291,Western Metropolitan,6232.0,1683000.0,Train
Toorak,13 Bruce St,3,h,VB,Castran,19/11/2016,4.6,3142.0,3.0,2.0,1.0,268.0,139.0,1900.0,Stonnington,-37.8369,145.0072,Southern Metropolitan,7217.0,1900000.0,Train
Bentleigh East,2/34 Adrian St,3,u,PI,Gary,16/07/2016,13.9,3165.0,3.0,2.0,1.0,228.0,,1996.0,Glen Eira,-37.9329,145.0617,Southern Metropolitan,10969.0,720000.0,Train
Caulfield North,127 Normanby Rd,4,h,S,Marshall,25/02/2017,8.1,3161.0,4.0,2.0,3.0,836.0,,1910.0,Glen Eira,-37.8696,145.0323,Southern Metropolitan,6923.0,2625000.0,Train
Williamstown,35 Chandler St,4,h,PI,hockingstuart,4/03/2017,8.0,3016.0,4.0,2.0,4.0,457.0,,,Hobsons Bay,-37.8517,144.8923,Western Metropolitan,6380.0,1400000.0,Train
Bayswater,592 Mountain Hwy,3,h,S,McGrath,29/07/2017,23.2,3153.0,3.0,1.0,1.0,424.0,94.0,1970.0,Knox,-37.84291,145.25545,Eastern Metropolitan,5030.0,606000.0,Train
South Melbourne,294 Moray St,2,h,S,Marshall,3/12/2016,2.1,3205.0,2.0,1.0,0.0,101.0,,,Port Phillip,-37.8359,144.9644,Southern Metropolitan,5943.0,1355000.0,Train
Essendon,55 Lincoln Rd,4,h,SP,Brad,19/11/2016,8.0,3040.0,4.0,3.0,1.0,519.0,218.0,1930.0,Moonee Valley,-37.7517,144.9086,Western Metropolitan,9264.0,1600000.0,Train
Oak Park,10 Magnolia St,5,h,S,Brad,20/05/2017,11.5,3046.0,5.0,3.0,2.0,647.0,,,Moreland,-37.719,144.9254,Northern Metropolitan,2651.0,1005000.0,Train
Carnegie,22A Mernda Av,3,h,S,Ray,16/09/2017,10.1,3163.0,3.0,2.0,2.0,338.0,147.0,2011.0,,-37.89235,145.04953999999995,Southern Metropolitan,7822.0,1508000.0,Train
Niddrie,47 Carrington Rd,3,u,S,Nelson,12/11/2016,11.2,3042.0,3.0,2.0,1.0,320.0,167.0,,Moonee Valley,-37.7377,144.888,Western Metropolitan,2291.0,970000.0,Train
